Exercise,Utility,Mechanics,Force,Instructions,Muscle
lever 45° reverse calf press (plate loaded),basic or auxiliary,isolated,pull,"Sit on seat with back on padded support. Place feet very high on platform, grasp handles to sides, and extend knees.
pull forefoot back toward body as far as possible while pushing platform with heels. return feet down to platform and repeat.",tibialis anterior
lever 45° reverse calf raise (plate loaded),basic or auxiliary,isolated,pull,"Sit on machine with lower back against padding. Grasp handles to sides and place feet on top portion of platform. Straighten knees and position heels on top edge of platform.
pull forefoot of both feet up and back toward body as far as possible. return by extending feet return to platform. repeat.",tibialis anterior
lever reverse calf raise (plate loaded),basic or auxiliary,isolated,pull,"Place shoulders under padded lever. Stand erect by extending hips and knees. Position heels on forward edge of platform placed under padded lever. Grasp handles or sides of padded lever.
pull forefoot of both feet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
lever reverse calf extension (plate loaded),basic or auxiliary,isolated,pull,Sit on seat and position heels on lever platform with fore feet extended off top. Grasp handles to sides and straighten knees.pull forefoot back toward body as far as possible while pushing platform with heels. return feet down to platform and repeat.,tibialis anterior
lever seated tibia raise (plate loaded),auxiliary,isolated,pull,"Sit on bench or stool. Place both feet under padded lever with heels on pedal.
lift forefeet upward as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
lever standing tibia raise (plate loaded),auxiliary,isolated,pull,"Standing behind machine hold on to support for balance. Place foot under padded lever with heel on pedal.
lift forefoot upward as far as possible. return by extending foot until toes are pointed downward. repeat.",tibialis anterior
lever donkey reverse calf raise,basic or auxiliary,isolated,pull,"Position lower back and hips under upper lever pad. Place forearms on supports. Position heels on forward edge of platform.
pull forefoot up and toward body as far as possible. return by extending feet until toes are pointed away from body. repeat.",tibialis anterior
lever reverse calf extension,basic or auxiliary,isolated,pull,Sit on seat and position heels on lever platform with fore feet extended off top. Grasp handles to sides and straighten knees.pull forefoot back toward body as far as possible while pushing platform with heels. return feet down to platform and repeat.,tibialis anterior
lever reverse calf raise,basic or auxiliary,isolated,pull,"Place shoulders under padded lever. Stand erect by extending hips and knees. Position heels on forward edge of platform placed under padded lever. Grasp handles or sides of padded lever.
pull forefoot of both feet up toward body as far as possible. return by extending feet until toes are pointed downward. repeat.",tibialis anterior
lever seated reverse calf press,basic or auxiliary,isolated,pull," Place seat away from platform. Sit on seat with lower back against padding and place feet very high on platform. Grasp handles to sides and straighten knees.
pull forefoot back toward body as far as possible while pushing platform with heels. return feet down to platform and repeat.",tibialis anterior
sled 45° reverse calf press,basic or auxiliary,isolated,pull,"Sit on seat with back on padded support. Place feet very high on platform, grasp handles to sides, and extend knees.
pull forefoot back toward body as far as possible while pushing platform with heels. return feet down to platform and repeat.",tibialis anterior
sled 45° reverse calf raise,basic or auxiliary,isolated,pull,"Sit on machine with lower back against padding. Grasp handles to sides and place feet on platform. Straighten knees and position heels on top edge of platform.
pull forefoot of both feet up and back toward body as far as possible. return by extending feet until toes are pointed away from body. repeat.",tibialis anterior
sled reverse donkey calf raise (plate loaded),basic or auxiliary,isolated,pull,"Position lower back and hips under upper pad. Place forearms on supports. Position heels on forward edge of platform.
pull forefoot up and toward body as far as possible. return by extending feet until toes are pointed away from body. repeat.",tibialis anterior
sled hack reverse calf raise,basic or auxiliary,isolated,pull,"Lie supine on back pad with shoulders against pads. Place feet very high on platform. Extend hips and knees. Release dock levers.
pull forefoot of both feet up toward body as far as possible. return by extending feet until toes are pointed away from body. repeat.",tibialis anterior
